Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
ATT_Component_Testing,Chrome 88.0.4324.146,,,2/8/2021 9:36,2/8/2021 9:38,2m - 38.421s,FAILED
,,,,,,,
Test Cases/TC_001_Verfiy_Home_Page_Load,Chrome 88.0.4324.146,,,2/8/2021 9:36,2/8/2021 9:36,34.589s,PASSED
"openBrowser("""")",Chrome 88.0.4324.146,,,2/8/2021 9:36,2/8/2021 9:36,12.297s,PASSED
"navigateToUrl(""https://www.att.com/"")",Chrome 88.0.4324.146,,,2/8/2021 9:36,2/8/2021 9:36,9.108s,PASSED
maximizeWindow(),Chrome 88.0.4324.146,,,2/8/2021 9:36,2/8/2021 9:36,0.635s,PASSED
waitForPageLoad(5),Chrome 88.0.4324.146,,,2/8/2021 9:36,2/8/2021 9:36,2.623s,PASSED
windowTitle = getWindowTitle(),Chrome 88.0.4324.146,,,2/8/2021 9:36,2/8/2021 9:36,1.529s,PASSED
"verifyMatch(windowTitle, ""AT&T Official Site - Unlimited Data Plans, Internet Service, & TV"", true)",Chrome 88.0.4324.146,,,2/8/2021 9:36,2/8/2021 9:36,0.091s,PASSED
"verifyElementPresent(findTestObject(""Home/mainpage""), 30)",Chrome 88.0.4324.146,,,2/8/2021 9:36,2/8/2021 9:36,1.959s,PASSED
"verifyElementAttributeValue(findTestObject(""Home/metacontent""), ""content"", ""AT&T Official Site - Unlimited Data Plans, Internet Service, & TV"", 30, STOP_ON_FAILURE)",Chrome 88.0.4324.146,,,2/8/2021 9:36,2/8/2021 9:36,2.293s,PASSED
"verifyElementAttributeValue(findTestObject(""Home/metaURL""), ""content"", ""https://www.att.com/"", 30, STOP_ON_FAILURE)",Chrome 88.0.4324.146,,,2/8/2021 9:36,2/8/2021 9:36,0.474s,PASSED
"verifyElementAttributeValue(findTestObject(""Home/metaimage""), ""content"", ""https://www.att.com/ecms/dam/att/consumer/global/logos/att_globe_500x500.jpg"", 30, STOP_ON_FAILURE)",Chrome 88.0.4324.146,,,2/8/2021 9:36,2/8/2021 9:36,0.487s,PASSED
closeBrowser(),Chrome 88.0.4324.146,,,2/8/2021 9:36,2/8/2021 9:36,1.183s,PASSED
,,,,,,,
Test Cases/TC_002_Verify_Headband_Component,Chrome 88.0.4324.146,,,2/8/2021 9:36,2/8/2021 9:37,18.846s,FAILED
"openBrowser("""")",Chrome 88.0.4324.146,,,2/8/2021 9:37,2/8/2021 9:37,1.866s,PASSED
"navigateToUrl(""https://www.att.com/"")",Chrome 88.0.4324.146,,,2/8/2021 9:37,2/8/2021 9:37,7.930s,PASSED
maximizeWindow(),Chrome 88.0.4324.146,,,2/8/2021 9:37,2/8/2021 9:37,1.108s,PASSED
"headbandURL = getAttribute(findTestObject(""Headband/a_Deals""), ""href"")",Chrome 88.0.4324.146,,,2/8/2021 9:37,2/8/2021 9:37,0.981s,PASSED
"verifyEqual(headbandURL, ""https://www.att.com/deals/"", CONTINUE_ON_FAILURE)",Chrome 88.0.4324.146,,,2/8/2021 9:37,2/8/2021 9:37,0.046s,PASSED
"headbandURL = getAttribute(findTestObject(""Headband/a_Phones  devices""), ""href"")",Chrome 88.0.4324.146,,,2/8/2021 9:37,2/8/2021 9:37,1.070s,PASSED
"verifyEqual(headbandURL, ""https://www.att.com/buy/phones/"", CONTINUE_ON_FAILURE)",Chrome 88.0.4324.146,,,2/8/2021 9:37,2/8/2021 9:37,0.004s,PASSED
"headbandURL = getAttribute(findTestObject(""Headband/a_Wireless""), ""href"")",Chrome 88.0.4324.146,,,2/8/2021 9:37,2/8/2021 9:37,3.050s,PASSED
"verifyEqual(headbandURL, ""https://www.att.com/wireless/"", CONTINUE_ON_FAILURE)",Chrome 88.0.4324.146,,,2/8/2021 9:37,2/8/2021 9:37,0.004s,PASSED
"headbandURL = getAttribute(findTestObject(""Headband/a_Internet""), ""href"")",Chrome 88.0.4324.146,,,2/8/2021 9:37,2/8/2021 9:37,1.606s,PASSED
"verifyEqual(headbandURL, ""https://www.att.com/internet/fiber/"", STOP_ON_FAILURE)",Chrome 88.0.4324.146,,,2/8/2021 9:37,2/8/2021 9:37,0.276s,FAILED
,,,,,,,
Test Cases/TC_003_Verify_AlertBanner911_component,Chrome 88.0.4324.146,,,2/8/2021 9:37,2/8/2021 9:37,16.742s,PASSED
"openBrowser("""")",Chrome 88.0.4324.146,,,2/8/2021 9:37,2/8/2021 9:37,4.926s,PASSED
"navigateToUrl(""https://www.att.com/"")",Chrome 88.0.4324.146,,,2/8/2021 9:37,2/8/2021 9:37,8.791s,PASSED
maximizeWindow(),Chrome 88.0.4324.146,,,2/8/2021 9:37,2/8/2021 9:37,0.451s,PASSED
"verifyElementNotVisible(findTestObject(""Alert/alert_banner""))",Chrome 88.0.4324.146,,,2/8/2021 9:37,2/8/2021 9:37,0.684s,PASSED
closeBrowser(),Chrome 88.0.4324.146,,,2/8/2021 9:37,2/8/2021 9:37,0.978s,PASSED
,,,,,,,
Test Cases/TC_004_Verify_ValueCards_Component,Chrome 88.0.4324.146,,,2/8/2021 9:37,2/8/2021 9:38,37.885s,PASSED
"openBrowser("""")",Chrome 88.0.4324.146,,,2/8/2021 9:37,2/8/2021 9:37,1.864s,PASSED
"navigateToUrl(""https://www.att.com/"")",Chrome 88.0.4324.146,,,2/8/2021 9:37,2/8/2021 9:37,9.351s,PASSED
maximizeWindow(),Chrome 88.0.4324.146,,,2/8/2021 9:37,2/8/2021 9:37,0.480s,PASSED
"verifyElementText(findTestObject(""Cards/div_LEARN HOW""), ""LEARN HOW"", STOP_ON_FAILURE)",Chrome 88.0.4324.146,,,2/8/2021 9:37,2/8/2021 9:37,6.316s,PASSED
"attribute = getAttribute(findTestObject(""Cards/div_LEARN HOW""), ""class"", STOP_ON_FAILURE)",Chrome 88.0.4324.146,,,2/8/2021 9:37,2/8/2021 9:37,0.447s,PASSED
"verifyElementAttributeValue(findTestObject(""Cards/div_LEARN HOW""), ""class"", ""color-ui-white type-eyebrow-small font-medium rel  "", 30, STOP_ON_FAILURE)",Chrome 88.0.4324.146,,,2/8/2021 9:37,2/8/2021 9:37,0.608s,PASSED
"if (attribute.contains(""color-ui-white""))",Chrome 88.0.4324.146,,,2/8/2021 9:37,2/8/2021 9:37,0.063s,PASSED
"verifyElementHasAttribute(findTestObject(""Cards/div_LEARN HOW""), ""class"", 0, STOP_ON_FAILURE)",Chrome 88.0.4324.146,,,2/8/2021 9:37,2/8/2021 9:37,0.786s,PASSED
"verifyElementVisible(findTestObject(""Homepage_Image/div_media1""), STOP_ON_FAILURE)",Chrome 88.0.4324.146,,,2/8/2021 9:37,2/8/2021 9:37,0.652s,PASSED
"verifyElementVisible(findTestObject(""Homepage_Image/div_media2""), STOP_ON_FAILURE)",Chrome 88.0.4324.146,,,2/8/2021 9:37,2/8/2021 9:37,0.618s,PASSED
"verifyElementVisible(findTestObject(""Homepage_Image/div_media3""), STOP_ON_FAILURE)",Chrome 88.0.4324.146,,,2/8/2021 9:37,2/8/2021 9:37,0.613s,PASSED
"verifyElementVisible(findTestObject(""Homepage_Image/div_media4""), STOP_ON_FAILURE)",Chrome 88.0.4324.146,,,2/8/2021 9:37,2/8/2021 9:37,0.525s,PASSED
"verifyElementVisible(findTestObject(""Homepage_Image/div_media5""), STOP_ON_FAILURE)",Chrome 88.0.4324.146,,,2/8/2021 9:37,2/8/2021 9:37,0.489s,PASSED
"verifyElementVisible(findTestObject(""Homepage_Image/div_media6""), STOP_ON_FAILURE)",Chrome 88.0.4324.146,,,2/8/2021 9:37,2/8/2021 9:37,0.476s,PASSED
"scrollToElement(findTestObject(""Homepage_Image/div_media7""), 5, STOP_ON_FAILURE)",Chrome 88.0.4324.146,,,2/8/2021 9:37,2/8/2021 9:38,0.506s,PASSED
"verifyElementVisible(findTestObject(""Homepage_Image/div_media7""), STOP_ON_FAILURE)",Chrome 88.0.4324.146,,,2/8/2021 9:38,2/8/2021 9:38,0.980s,PASSED
"verifyElementVisible(findTestObject(""Homepage_Image/div_media8""), STOP_ON_FAILURE)",Chrome 88.0.4324.146,,,2/8/2021 9:38,2/8/2021 9:38,0.491s,PASSED
"scrollToElement(findTestObject(""Homepage_Image/div_media9""), 5, STOP_ON_FAILURE)",Chrome 88.0.4324.146,,,2/8/2021 9:38,2/8/2021 9:38,0.671s,PASSED
"verifyElementVisible(findTestObject(""Homepage_Image/div_media9""), STOP_ON_FAILURE)",Chrome 88.0.4324.146,,,2/8/2021 9:38,2/8/2021 9:38,1.305s,PASSED
"scrollToElement(findTestObject(""Homepage_Image/div_media10""), 5, STOP_ON_FAILURE)",Chrome 88.0.4324.146,,,2/8/2021 9:38,2/8/2021 9:38,0.896s,PASSED
"verifyElementVisible(findTestObject(""Homepage_Image/div_media10""), STOP_ON_FAILURE)",Chrome 88.0.4324.146,,,2/8/2021 9:38,2/8/2021 9:38,0.828s,PASSED
"scrollToElement(findTestObject(""Homepage_Image/div_media11""), 5, STOP_ON_FAILURE)",Chrome 88.0.4324.146,,,2/8/2021 9:38,2/8/2021 9:38,0.446s,PASSED
"verifyElementVisible(findTestObject(""Homepage_Image/div_media11""), STOP_ON_FAILURE)",Chrome 88.0.4324.146,,,2/8/2021 9:38,2/8/2021 9:38,0.981s,PASSED
"scrollToElement(findTestObject(""Homepage_Image/div_media12""), 5, STOP_ON_FAILURE)",Chrome 88.0.4324.146,,,2/8/2021 9:38,2/8/2021 9:38,0.555s,PASSED
"verifyElementVisible(findTestObject(""Homepage_Image/div_media12""), STOP_ON_FAILURE)",Chrome 88.0.4324.146,,,2/8/2021 9:38,2/8/2021 9:38,0.614s,PASSED
"scrollToElement(findTestObject(""Homepage_Image/div_media13""), 5, STOP_ON_FAILURE)",Chrome 88.0.4324.146,,,2/8/2021 9:38,2/8/2021 9:38,0.767s,PASSED
"verifyElementVisible(findTestObject(""Homepage_Image/div_media13""), STOP_ON_FAILURE)",Chrome 88.0.4324.146,,,2/8/2021 9:38,2/8/2021 9:38,0.677s,PASSED
"scrollToElement(findTestObject(""Homepage_Image/div_media14""), 5, STOP_ON_FAILURE)",Chrome 88.0.4324.146,,,2/8/2021 9:38,2/8/2021 9:38,0.594s,PASSED
"verifyElementVisible(findTestObject(""Homepage_Image/div_media14""), STOP_ON_FAILURE)",Chrome 88.0.4324.146,,,2/8/2021 9:38,2/8/2021 9:38,0.531s,PASSED
"scrollToElement(findTestObject(""Homepage_Image/div_media15""), 5, STOP_ON_FAILURE)",Chrome 88.0.4324.146,,,2/8/2021 9:38,2/8/2021 9:38,0.455s,PASSED
"verifyElementVisible(findTestObject(""Homepage_Image/div_media15""), STOP_ON_FAILURE)",Chrome 88.0.4324.146,,,2/8/2021 9:38,2/8/2021 9:38,0.507s,PASSED
"scrollToElement(findTestObject(""Homepage_Image/div_media16""), 5, STOP_ON_FAILURE)",Chrome 88.0.4324.146,,,2/8/2021 9:38,2/8/2021 9:38,0.416s,PASSED
"verifyElementVisible(findTestObject(""Homepage_Image/div_media16""), STOP_ON_FAILURE)",Chrome 88.0.4324.146,,,2/8/2021 9:38,2/8/2021 9:38,0.560s,PASSED
closeBrowser(),Chrome 88.0.4324.146,,,2/8/2021 9:38,2/8/2021 9:38,1.054s,PASSED
,,,,,,,
Test Cases/TC_005_Verify_Link,Chrome 88.0.4324.146,,,2/8/2021 9:38,2/8/2021 9:38,22.704s,FAILED
"openBrowser("""")",Chrome 88.0.4324.146,,,2/8/2021 9:38,2/8/2021 9:38,1.738s,PASSED
"navigateToUrl(""https://www.att.com/"")",Chrome 88.0.4324.146,,,2/8/2021 9:38,2/8/2021 9:38,7.269s,PASSED
maximizeWindow(),Chrome 88.0.4324.146,,,2/8/2021 9:38,2/8/2021 9:38,0.411s,PASSED
"scrollToElement(findTestObject(""Homepage_Image/div_media7""), 5)",Chrome 88.0.4324.146,,,2/8/2021 9:38,2/8/2021 9:38,0.688s,PASSED
"headbandURL = getAttribute(findTestObject(""Link/a_Shop all phone deals""), ""href"", STOP_ON_FAILURE)",Chrome 88.0.4324.146,,,2/8/2021 9:38,2/8/2021 9:38,6.383s,PASSED
"verifyEqual(headbandURL, ""https://www.att.com/deals/cell-phone-deals/"", STOP_ON_FAILURE)",Chrome 88.0.4324.146,,,2/8/2021 9:38,2/8/2021 9:38,0.004s,PASSED
"scrollToElement(findTestObject(""Link/a_Find a store""), 5, STOP_ON_FAILURE)",Chrome 88.0.4324.146,,,2/8/2021 9:38,2/8/2021 9:38,0.877s,PASSED
